Text	Paraphrase
Tôi nghĩ rằng bạn đang nhầm lẫn.	Tôi tin rằng bạn không chính xác.
Tôi nghĩ bạn đã nhầm.	Tôi tin rằng bạn đã nhầm.
Bạn nên đã tham dự cuộc họp.	Bạn nên tham dự cuộc họp.
Cửa hàng đóng cửa lúc bảy giờ.	Cửa hàng đóng cửa lúc 7 giờ.
Cái hồ lớn.	Nước là quan trọng.
Anh ấy không thể tin vào mắt mình.	Anh không thể tin vào mắt mình.
Ba đâu rồi?	Bố của bạn ở đâu?
Bố tôi đâu?	Bố đâu?
Còn bố bạn thì sao?	Bố tôi đâu?
Cha tôi đâu?	Bố của bạn đâu?
Bố của bạn đâu rồi?	Bố của tôi ở đâu?
Tom có ​​một người bạn sống ở Boston.	Tom có ​​một người bạn sống ở Boston.
Anh vừa đi ra ngoài.	Tôi e rằng anh ấy vừa đi ra ngoài.
Anh ấy vừa mới rời đi.	Anh ấy vừa rời đi một lúc trước.
Cô ấy vừa rời đi.	Nó mới ra lò.
Anh ấy vừa rời đi.	Cô ấy vừa rời đi.
Chúng tôi đã đi đến công viên để chụp ảnh.	Chúng tôi đã đi đến công viên để chụp ảnh.
Đó là một mệnh lệnh cao.	Nó sẽ không được dễ dàng.
Nó sẽ không được dễ dàng.	Nó sẽ không được dễ dàng như vậy.
Đó là một trong những khó khăn.	Đó là một trong những khó khăn.
Tom và Mary đều có rất ít bạn.	Cả Tom và Mary đều không có nhiều bạn.
Hôm qua trời lạnh khủng khiếp.	Hôm qua lạnh.
Chúng tôi là con trai của ông ấy.	Chúng tôi là bạn của anh ấy.
Cô ấy hơn bạn hai tuổi.	Cô ấy lớn hơn bạn hai tuổi.
Tôi sẽ không bao giờ quên nhìn thấy bạn.	Tôi sẽ nhớ cho bạn mãi mãi.
Tôi sẽ không bao giờ quên gặp bạn.	Tôi sẽ nhớ bạn mãi mãi.
Tôi sẽ luôn nhớ đến bạn.	Tôi sẽ không bao giờ quên bạn.
Tôi sẽ không bao giờ quên bạn.	Bạn vẫn luôn luôn trong ký ức của tôi.
Cho tôi một chai rượu.	Một ly rượu vang, xin vui lòng.
Bạn của bạn có thích uống trà không?	Bạn trai của bạn có thích uống trà không?
Tom đã không làm điều đó.	Tom đã không làm điều đó.
Tom đã không làm điều này.	Tom đã không làm điều đó.
Hôm nay trời có tuyết.	Hôm nay tuyết rơi.
Hôm nay trời sẽ có tuyết.	Hôm nay tuyết rơi.
Hôm nay tuyết rơi.	Hôm nay có tuyế rơi.
Bạn đã làm gì ngày hôm qua?	Bạn đã làm gì ngày hôm qua?
Tôi có ý kiến ​​​​rằng anh ấy sẽ không bao giờ quay lại.	Tôi nghĩ anh ấy sẽ không bao giờ trở lại.
Chúng tôi đang tin tưởng vào bạn để giúp đỡ.	Chúng tôi trông cậy vào sự giúp đỡ của bạn.
Có nhiều giả thuyết về nguồn gốc của sự sống.	Có rất nhiều giả thuyết về nguồn gốc của sự sống.
Anh ghen tị với thành công của tôi.	Anh ghen tị với thành công của tôi.
Lời cầu nguyện yêu thích của bạn là gì?	Bạn thích câu nào hơn?
Anh đã yêu cô ấy.	Anh ta yêu cô ấy.
Anh ấy yêu họ.	Anh ấy đã yêu cô ấy một thời gian dài.
Cô ngưỡng mộ anh.	Cô ngưỡng mộ anh.
Cô thần tượng anh.	Cô ấy thích anh ta.
Cô yêu anh.	Cô ấy muốn anh ấy.
Cô tôn thờ anh.	Anh ấy hoàn toàn say mê với cô ấy.
Anh ấy phải lòng cô ấy.	Anh ngưỡng mộ cô.
Cô ngước lên nhìn anh.	Cô ấy thích nó.
Cô thích điều đó.	Anh ấy thích điều đó.
Cô đang nhìn anh.	Anh ấy thích bạn!
Cô ấy thích bạn!	Cô nhìn anh.
Bạn đang yêu anh ấy.	Anh ấy yêu bạn.
Anh ấy yêu anh ấy.	Cô ấy yêu cô ta.
Bạn yêu cô ấy.	Anh ấy ngưỡng mộ anh ấy.
Anh ấy tôn thờ anh ấy.	Anh ấy yêu nó.
Cô ấy yêu nó.	Anh tôn thờ nó.
Cô tôn thờ nó.	Anh ấy muốn điều đó.
Cô ấy muốn điều đó.	Anh ấy thích cô ấy.
Cô ấy thích cô ấy.	Anh ấy muốn nó.
Cô ta muốn nó.	Anh ta muốn bạn.
Cô ấy muốn bạn.	Anh ấy thích điều này.
Cô ấy yêu bạn.	Cô ấy thích họ.
Bill lớn hơn tôi hai tuổi.	Bill lớn hơn tôi hai tuổi.
Ai đã nói thế?	Bạn đã học nó từ ai?
Bạn đã học được điều đó từ ai?	Ai đã dạy bạn điều đó?
Ai đã nói thế?	Ai đã dạy bạn làm thế nào để làm điều này?
Ai đã dạy bạn điều này?	Bạn đã học được điều đó từ ai?
Tôi cảm thấy như mình đang quên điều gì đó.	Tôi nghĩ rằng tôi đã quên một cái gì đó.
Đừng ném đá vào con chó.	Đừng ném đá vào con chó.
Những quả cà chua này không có mùi vị gì cả.	Những quả cà chua này không vị.
Cô ấy không đến thăm tôi vào Chủ nhật mà vào thứ Hai.	Cô ấy đến thăm tôi, không phải vào Chủ nhật, mà là vào Thứ Hai.
Vui lòng xuất trình vé của bạn.	Tôi có thể xem vé của bạn không?
Xin vé.	Làm ơn cho tôi xem thẻ lên máy bay của bạn được không?
Để tôi kiểm tra vé của bạn.	Tôi muốn xem vé của bạn, xin vui lòng.
Vé của bạn, xin vui lòng.	Cho tôi xem vé của bạn.
Các con hãy lắng nghe!	Các con hãy lắng nghe!
Tôi sẽ giết anh ấy.	Tôi sẽ giết bạn.
Tôi sẽ giết bạn.	Tao sẽ giết mày!
Tôi sẽ bóp nghẹt sự sống của anh ta.	Tôi sẽ giết nó.
Tôi sẽ giết bạn.	Tôi sẽ bóp cổ anh ta.
Họ lần lượt chết.	Họ lần lượt chết.
Cha tôi bắt được ba con cá ngày hôm qua.	Hôm qua cha tôi bắt được ba con cá.
Thời gian đã trôi qua rất nhanh.	Làm thế nào thời gian trôi nhanh!
Thời gian đang trôi qua rất nhanh.	Thời gian trôi qua một cách nhanh chóng.
Thời gian trôi nhanh.	Thời gian trôi qua nhanh chóng.
Thời gian trôi qua nhanh chóng.	Thời gian trôi rất nhanh.
Thời gian không còn nhiều.	Thời gian đã trôi qua.
Thời gian đang trở nên ngắn ngủi.	Thời gian đã trôi qua.
Thời gian trôi qua rất nhanh.	Thời gian trôi nhanh quá!
Thời gian không còn nhiều.	Đang hết thời gian.
Thời gian đang trôi qua.	Thời gian trôi qua.
Tôi mất anh giữa đám đông.	Tôi mất anh trong đám đông.
Dì của tôi đã cho tôi một cuốn album.	Dì của tôi đã cho tôi một album ảnh.
Một con ong bay ra khỏi cửa sổ.	Một con ong vò vẽ bay ra ngoài cửa sổ.
Tôi phải dọn phòng của tôi.	Tôi nên dọn phòng.
Đừng nhìn tôi theo cách đó.	Đừng có nhìn tôi như thế!
Đừng cho tôi cái nhìn đó.	Tôi không muốn cái nhìn đó từ bạn.
Với sự giúp đỡ của các bác sĩ, cô ấy đã vượt qua được căn bệnh của mình.	Với sự giúp đỡ của các bác sĩ, cô đã hồi phục.
Tôi thích uống thuốc hơn là tiêm.	Tôi thích uống thuốc hơn là tiêm.
Cô ấy lấy anh trai tôi cho tôi.	Cô ấy coi tôi là anh trai tôi.
Ai có ý kiến ​​xin giơ tay.	Nếu bạn có một suy nghĩ, xin vui lòng giơ tay của bạn.
Nhà tôi rất gần ga.	Nhà tôi ở gần nhà ga.
Nhà tôi nằm gần nhà ga.	Nhà tôi nằm ở một nơi thuận tiện - gần ga xe lửa.
Bạn muốn loại sách nào?	Bạn cần cuốn sách nào?
Tôi quên dán tem trước khi gửi thư.	Tôi quên dán tem lên bức thư sẽ được gửi đi.
Ông đã đến thăm Pháp ba lần.	Cô đã đến Pháp ba lần.
Anh đã tìm thấy cha mẹ mình.	Anh đã tìm thấy những người mẹ của mình.
Một dịch bệnh đã bùng phát.	Dịch bệnh bùng phát.
Bạn có một cây bút trên bạn?	Tôi tự hỏi nếu bạn có một cái gì đó để viết với.
Bạn có bút chì nào không?	Bạn có bút không?
Bạn có một cây bút chì về bạn?	Bạn có bất cứ điều gì để viết với trong đó?
Bạn có bút bi không?	Bạn có bút chì không?
Bạn có bút bi không?	Bạn có bút chì nào không?
Tôi đã mua cho em gái tôi một chiếc mũ mới.	Tôi đã mua một chiếc mũ mới cho em gái tôi.
Giống như một cái gai mắc kẹt trong cổ họng của bạn.	Như cái gai cắm vào cổ họng.
Bạn có thể viết một bức thư bằng tiếng Anh không?	Bạn có biết cách viết một lá thư bằng tiếng Anh không?
Ngay khi anh ta đi ra ngoài, có một trận động đất lớn.	Khi anh chuẩn bị rời đi, một trận động đất bắt đầu.
Có một ít sữa còn lại trong chai.	Có một ít sữa trong chai.
Cô gái này đến từ Nhật Bản.	Cô gái này đến từ Nhật Bản.
Ngôi đền này được xây dựng khi nào?	Nhà thờ này được xây dựng khi nào?
Tôi nhận ra cô ấy ngay khi tôi nhìn thấy cô ấy.	Tôi nhận ra cô ấy ngay khi tôi nhìn thấy cô ấy.
Tôi dậy khi trời còn tối.	Khi tôi tỉnh dậy, trời vẫn còn tối bên ngoài.
Tôi sẽ tham gia một cuộc biểu tình.	Tôi muốn tham gia biểu tình.
Xin vui lòng giúp mình để bánh.	Hãy giúp mình để một số bánh.
Làm ơn tự ăn bánh đi.	Xin vui lòng có một số bánh.
Hãy ăn một ít bánh.	Giúp mình một miếng bánh.
Có một miếng bánh.	Làm ơn ăn bánh đi.
Trời đang mưa.	Ngoài trời đang mưa xối xả.
Trời mưa to.	Trời bắt đầu mưa một cách nghiêm túc.
Trời bắt đầu mưa mèo và chó.	Mưa tuôn xối xả.
Mưa bắt đầu rơi.	Trời đang mưa.
Trời đang mưa to.	Tôi bị bắt gặp đang tắm.
Một cơn mưa rào trút xuống.	Nó bắt đầu có tuyết ngay bây giờ.
Trời vừa mới bắt đầu mưa.	Nó đổ xuống.
Bây giờ trời đang mưa to.	Hôm nay trời mưa.
Đêm nay trời mưa to.	Đêm qua trời mưa.
Tuyết vừa mới đến.	Trời bắt đầu có tuyết.
Tuyết đã bắt đầu rơi.	Mưa đang trút xuống.
Anh ta không có đôi chân của mình trên mặt đất.	Tôi đã bị bắt gặp trong một buổi tối tắm.
Đêm nay trời mưa như mèo và chó.	Trời bắt đầu có tuyết.
Trời mưa vào tối hôm qua.	Trời đang mưa.
Ngoài trời đang mưa.	Trời bắt đầu mưa.
Trời bắt đầu mưa to.	Tuyết rơi bên ngoài.
Trời đang mưa to.	Trời mưa mèo và chó.
Trời đã mưa.	Nó chỉ mới bắt đầu có tuyết.
Trời bắt đầu mưa như trút nước.	Trời đang đái với mưa.
Nó đang xô xuống.	Thời tiết mưa.
Mưa rơi thành từng đợt.	Trời đang đổ khá mạnh ngoài kia!
Một trận mưa lớn đổ xuống.	Trời đang mưa rất to.
Nó đang đổ xuống.	Chiều hôm qua trời mưa.
Trời đang mưa mèo và chó.	Mưa như trút nước.
Trời đang đổ mưa.	Trời đang mưa to.
Tuyết đang rơi trên đường phố.	Ngoài trời đang mưa to.
Trời bắt đầu mưa.	Ngoài trời đang có tuyết rơi.
Trời mới bắt đầu mưa.	Trời bắt đầu mưa.
Mưa như trút nước.	Trời đã bắt đầu mưa.
Trời bắt đầu mưa.	Hôm nay trời mưa.
Ngoài trời đang mưa.	Trời đang mưa rất nhiều.
Trời mưa vào tối qua.	Tôi bị cuốn vào một cơn mưa bão.
Có tuyết bên ngoài.	Hôm nay, trời mưa.
Trời mưa.	Hôm nay trời mưa.
Đó là đòn roi.	Trời mới bắt đầu mưa.
Trời đang mưa to.	Trời bắt đầu mưa.
Trời bắt đầu mưa to.	Trời bắt đầu mưa.
Trời bắt đầu có tuyết.	Nó đang đái xuống.
Nó nổi.	Trời sẽ mưa hôm nay.
Tôi đã khóa cửa.	Tôi chốt cửa.
Bạn đã điện thoại cho anh ta?	Bạn đã gọi điện thoại cho anh ta?
Bạn đã gọi điện thoại cho cô ấy?	Bạn đã gọi cho anh ấy chưa?
Bạn đã gọi cho cô ấy chưa?	Bạn đã gọi cho anh ấy?
Hãy chăm sóc nhiều hơn trong tương lai.	Làm ơn, hãy cẩn thận hơn một chút trong tương lai.
Sân bay cách đây bao xa?	Sân bay cách đây bao xa?
Bạn đã gọi?	Bạn đã gọi?
Bạn đã gọi cho tôi?	Bạn đã gọi cho tôi chưa?
Nếu tôi là một con chim, tôi sẽ bay đến với bạn.	Nếu tôi là một con chim, tôi có thể bay đến bên bạn.
Nếu tôi là một con chim, tôi có thể bay đến bên bạn.	Nếu tôi là một con chim, tôi có thể bay đến bên bạn.
Xe mới của anh ấy là một vẻ đẹp.	Chiếc xe mới của anh ấy thật tuyệt vời.
Cô ấy đạt điểm cao trong môn tiếng Anh.	Điểm tiếng Anh của cô ấy rất tốt.
Tôi nghĩ rằng lý thuyết của bạn không giữ nước.	Lý thuyết của bạn không theo kịp.
Tôi làm việc tại công ty này.	Tôi đã làm việc trong nhà máy này.
Tôi đã làm việc trong nhà máy này.	Tôi làm việc cho công ty này.
Tôi sẽ nhận được ngay cả với bạn một ngày nào đó.	Bạn sẽ trả tiền cho nó.
Bạn sẽ phải trả giá cho điều này.	Bạn sẽ trả tiền cho điều đó.
Ông tôi thường làm đồ nội thất cho chính mình.	Ông tôi thường tự làm đồ nội thất.
Tắm nước nóng làm thư giãn cơ bắp của tôi.	Tắm nước nóng nới lỏng cơ bắp của tôi.
Bạn đánh vần tên bạn như thế nào?	Làm ơn đánh vần tên của bạn.
Bạn có thể đánh vần tên mình không?	Xin vui lòng đánh vần tên của bạn.
Bạn có thể đánh vần tên của bạn cho tôi?	Làm thế nào là tên của bạn đánh vần?
Cho tôi một ngọn đèn, được không?	Bạn sẽ cho tôi một ánh sáng?
Bạn đã có một cái bật lửa?	Bạn có bật lửa không?
Bạn có bị sốt không?	Có sốt không?
Ông thừa nhận John ngày hôm qua.	Anh ấy đã cho phép John vào ngày hôm qua.
Bạn có đi bộ đến trường không?	Bạn có đi bộ đến trường không?
Tên của anh ấy đã hoàn toàn biến mất khỏi tâm trí tôi.	Tôi không thể nhớ tên cô ấy.
Tên của anh ấy lảng tránh tôi.	Tôi không thể nghĩ ra tên của anh ấy ngay bây giờ.
Tôi không thể nhớ tên cô ấy vào lúc này.	Tôi không nhớ tên anh ấy.
Tôi không biết tên anh ấy.	Tôi quên tên anh ta.
Tên của anh ấy đã trượt khỏi tâm trí tôi.	Tên của họ thoát khỏi tôi.
Tên của họ đã thoát khỏi tôi.	Tôi đã hoàn toàn quên tên anh ấy.
Tôi không thể nhớ tên của họ.	Tôi quên mất tên anh ta là gì.
Trong một khoảnh khắc tôi quên mất tên cô ấy là gì.	Tên cô ấy lướt qua tâm trí tôi.
Tôi quên mất tên cô ấy.	Tôi quên mất tên của nó.
Tôi không nhớ tên cô ấy.	Bạn đã quên tên anh ấy.
Tôi thậm chí không thể nhớ tên anh ấy là gì.	Tôi không biết tên của họ.
Tôi quên mất họ gọi anh ta là gì.	Tôi không biết tên cô ấy.
Tôi đã quên tên của bạn.	Tôi không biết tên cô ấy là gì.
Tôi đã quên tên cô ấy.	Tên của anh ấy thoát khỏi tôi.
Tôi đã quên họ của anh ấy.	Tôi đã quên họ của cô ấy.
Tôi quên tên cô ấy.	Tôi đã quên tên.
Tôi không nhớ cái tên đó.	Tôi quên tên của bạn.
Tôi không thể nhớ tên của anh ấy.	Tôi đã quên tên của họ.
Anh ta mù như một con dơi.	Anh ta có thị lực khủng khiếp.
Anh ấy là anh hùng.	Anh ấy là một anh hùng.
Tôi đang làm việc trên cuốn sách mới của tôi.	Tôi có một cuốn sách mới mà tôi đang làm.
Bạn có thể ăn và uống bao nhiêu tùy thích.	Ăn và uống tất cả những gì bạn muốn!
Tôi cũng không thích nó.	Tôi cũng không thích anh ta.
Tôi cũng không thích anh ta.	Tôi cũng không thích điều đó.
Tôi không có câu hỏi nào thêm.	Tôi không có câu hỏi nào khác.
Tất cả các thành phố lớn đều có vấn đề về giao thông.	Tất cả các thành phố lớn đều có vấn đề về giao thông.
Tôi đang cầm một cuốn sách.	Tôi đang lấy một cuốn sách.
Tôi thà không đến đó một mình.	Tôi sẽ không đến đó một mình.
